year,imd,sex,<1      ,1-4,5-9,10-14,15-19   ,20-24   ,25-29   ,30-34   ,35-39   ,40-44   ,45-49   ,50-54   ,55-59   ,60-64   ,65-69   ,70-74   ,75-79   ,80-84   ,85-89   ,90+     ,All Ages
2007,2,Male,40911,146192,166461,174271,180563,201977,206468,188174,195958,185788,159728,133974,125798,109485,88136,74299,58899,40007,20612,7102,2504803
2007,2,Female,38971,139338,160503,166632,178497,213670,216730,187692,195223,189102,162175,134683,126363,113988,95848,88042,81339,66355,43877,23107,2622135
2007,3,Male,37078,131257,150455,160979,175040,208288,214172,191602,198744,189504,164141,139176,133376,118646,92187,79638,62691,43267,21608,7749,2519598
2007,3,Female,35237,124848,144259,153789,171928,211149,215792,187782,194887,189239,164428,140698,136248,122478,100433,92778,85269,69402,46311,25251,2612206
2007,4,Male,33525,119627,141309,153769,170555,199851,200873,188953,197964,193978,169486,147135,145271,133465,102665,86202,68750,46190,23736,8726,2532030
2007,4,Female,32177,114719,135297,146860,165259,201582,200362,181768,193366,191722,170518,149193,148825,137492,110156,98699,90302,73069,48985,26839,2617190
2007,5,Male,30426,113086,138100,151997,163667,176815,182651,174300,192518,195921,175933,153165,156255,146847,111231,94398,74321,49910,25870,9605,2517016
2007,5,Female,29023,107183,131955,144881,156713,173870,180273,171500,192023,195828,177488,157438,160439,152707,118664,107125,95653,77103,51910,29018,2610794
2007,6,Male,29903,111482,138780,151826,158663,162799,171105,169739,193774,199619,181414,160207,163945,156205,117155,99308,78135,51523,27135,10116,2532833
2007,6,Female,28471,106333,132428,145301,151909,155381,171174,168462,193742,201441,182798,164317,169559,163326,123478,110816,98078,78302,52504,29730,2627550
2007,7,Male,28390,108373,138757,152698,164098,155439,155506,158808,189376,201220,184191,164892,168986,163141,119174,101993,80083,52616,26813,10054,2524608
2007,7,Female,26807,104018,132072,145214,154897,148409,153414,161238,193076,205483,188061,168293,175358,168917,127371,113009,98262,77754,53071,29651,2624375
2007,8,Male,28466,110809,141329,154475,163122,146091,148381,155041,190831,202499,186585,164746,170298,164103,119290,101612,79411,51464,26535,10246,2515334
2007,8,Female,27016,104646,134392,146471,153802,138976,146416,158830,194393,208449,188460,168665,177330,170965,127073,112115,98110,76495,50584,28847,2612035
2007,9,Male,27929,112567,146720,161152,169048,140679,134872,147149,190080,207403,191342,169028,172907,166987,119195,102558,81170,52931,25999,10145,2529861
2007,9,Female,26420,106618,139422,153100,158180,126738,131605,153662,197233,213198,195230,172172,180547,173964,127871,113063,98326,76419,49237,27806,2620811
2007,10,Male,26980,114713,156134,171835,166832,121600,111552,129620,181998,208980,198231,174980,175719,168319,118150,103275,81838,53121,26206,10069,2500152
2007,10,Female,25682,109001,148965,162517,158270,110348,110442,140001,193740,221937,203437,177449,182977,174730,127198,113815,97560,73943,45775,25806,2603593
2008,1,Male,47295,168951,183413,187454,186873,201881,204958,178765,184154,178739,160530,137746,125718,113464,88953,75991,57409,37575,19012,6069,2544950
2008,1,Female,45002,161869,174091,178141,183254,225281,218384,176781,184739,179727,161816,136880,121598,112548,94156,87551,76976,61474,40992,20217,2641477
2008,2,Male,42366,151099,167056,172764,181126,203494,216890,189149,193715,187200,164373,137933,123753,114188,88225,75378,58707,39679,21398,6888,2535381
2008,2,Female,41039,144613,159297,165178,178854,217780,225961,188736,193436,189252,167436,138673,124188,117850,95789,87950,79715,64715,45201,22189,2647852
